DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
UL	0.137107	13	7	0	3	3	1	1	0	6306	28	0	256.54 	0	0
DL	0.137304	13	7	1	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.137339	13	7	1	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.137554	13	7	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.137571	13	7	2	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.137804	13	7	3	1	2	1	1	0	4205	28	0	256.54	0	0
DL	0.138054	13	8	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.138071	13	8	0	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.138304	13	8	1	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.138339	13	8	1	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.138554	13	8	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.138607	13	8	2	3	3	1	1	0	6306	28	0	256.54 	0	0
DL	0.138804	13	8	3	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.138839	13	8	3	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.139054	13	9	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.139071	13	9	0	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.139304	13	9	1	1	2	1	1	0	4205	28	0	256.54	0	0
DL	0.139554	13	9	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.139571	13	9	2	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.139804	13	9	3	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.139839	13	9	3	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.140054	14	0	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.140107	14	0	0	3	3	1	1	0	6306	28	0	256.54 	0	0
DL	0.140304	14	0	1	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.140339	14	0	1	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.140554	14	0	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.140571	14	0	2	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.140804	14	0	3	1	2	1	1	0	4205	28	0	256.54	0	0
DL	0.141054	14	1	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.141071	14	1	0	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.141304	14	1	1	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.141339	14	1	1	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.141554	14	1	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.141607	14	1	2	3	3	1	1	0	6306	28	0	256.54 	0	0
DL	0.141804	14	1	3	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.141839	14	1	3	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.142054	14	2	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.142071	14	2	0	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.142304	14	2	1	1	2	1	1	0	4205	28	0	256.54	0	0
DL	0.142554	14	2	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.142571	14	2	2	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.142804	14	2	3	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.142839	14	2	3	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.143054	14	3	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.143107	14	3	0	3	3	1	1	0	6306	28	0	256.54 	0	0
DL	0.143304	14	3	1	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.143339	14	3	1	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.143554	14	3	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.143571	14	3	2	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.143804	14	3	3	1	2	1	1	0	4205	28	0	256.54	0	0
DL	0.144054	14	4	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.144071	14	4	0	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.144304	14	4	1	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.144339	14	4	1	3	2	1	1	0	4205	28	0	256.54 	0	0
